Time,altitude via 2D coords,altitude via 3D coords,altitude via ecc ano,altitude via true ano
495,425590.772087,421998.000152,425590.772087,425590.772087
496,425595.424036,421998.303346,425595.424036,425595.424036
497,425600.074402,421998.602332,425600.074402,425600.074402
498,425604.723179,421998.897103,425604.723179,425604.723179
499,425609.370361,421999.187653,425609.370361,425609.370361
500,425614.015942,421999.473976,425614.015942,425614.015942
501,425618.659917,421999.756067,425618.659917,425618.659917
502,425623.302279,422000.033920,425623.302279,425623.302279
503,425627.943022,422000.307529,425627.943022,425627.943022
504,425632.582141,422000.576887,425632.582141,425632.582141
505,425637.219630,422000.841990,425637.219630,425637.219630
506,425641.855482,422001.102830,425641.855482,425641.855482
507,425646.489693,422001.359403,425646.489693,425646.489693
508,425651.122256,422001.611703,425651.122256,425651.122256
509,425655.753165,422001.859723,425655.753165,425655.753165
510,425660.382414,422002.103457,425660.382414,425660.382414
511,425665.009998,422002.342901,425665.009998,425665.009998
512,425669.635910,422002.578047,425669.635910,425669.635910
513,425674.260145,422002.808891,425674.260145,425674.260145
514,425678.882697,422003.035425,425678.882697,425678.882697
515,425683.503560,422003.257646,425683.503560,425683.503560
516,425688.122728,422003.475545,425688.122728,425688.122728
517,425692.740196,422003.689119,425692.740196,425692.740196
518,425697.355956,422003.898360,425697.355956,425697.355956
519,425701.970005,422004.103264,425701.970005,425701.970005
520,425706.582335,422004.303823,425706.582335,425706.582335
521,425711.192941,422004.500033,425711.192941,425711.192941
522,425715.801817,422004.691887,425715.801817,425715.801817
523,425720.408957,422004.879380,425720.408957,425720.408957
524,425725.014355,422005.062506,425725.014355,425725.014355
525,425729.618006,422005.241259,425729.618006,425729.618006
526,425734.219903,422005.415633,425734.219903,425734.219903
